,timepoint,centroid-0,centroid-1,centroid-2,size,min_intensity,max_intensity,mean_intensity,var_intensity,mean_background_intensity,SNR
1563,3.0,0.0,32.0,6.0,8.485281374238571,0.0,0.3129005432128906,0.023565373714501257,0.0024736100272781743,0.013362987159078965,1.763480981757187
1564,3.0,0.0,76.0,74.0,8.485281374238571,0.0,0.25843048095703125,0.01351042005750868,0.0015358902866664673,0.0061279090054063914,2.204735750088491
1565,3.0,50.0,52.0,0.0,8.485281374238571,0.0,0.24070358276367188,0.01186027211591232,0.0014374158928213516,0.0006009382360121783,19.736258079727126
1566,3.0,48.0,36.0,0.0,8.485281374238571,0.0,0.2549095153808594,0.012645406171310046,0.0017333162515988897,0.0015706455006318934,8.051088655092837
1568,3.0,50.0,99.0,61.0,8.485281374238571,0.0,0.2469482421875,0.014759221352821539,0.0015836473543781628,0.0001943812650792739,75.92923807138683
1569,3.0,14.0,99.0,62.0,8.485281374238571,0.0,0.24627685546875,0.01262686863418453,0.0014262842339859733,2.9451706830193015e-05,428.7313026367572
1572,3.0,99.0,6.0,78.0,8.485281374238571,0.0,0.17584228515625,0.01754516673879036,0.0012340827466704837,0.011035063876164868,1.5899470030877625
1580,3.0,0.0,18.0,94.0,8.485281374238571,0.0,0.22248458862304688,0.011198197952424637,0.0011467865981894748,0.00847290609484521,1.3216478298086478
1581,3.0,99.0,23.0,36.0,8.485281374238571,0.0,0.22071456909179688,0.010608011881510417,0.0010434057372260012,0.012045693684773272,0.8806476537685662
1583,3.0,60.0,0.0,56.0,8.485281374238571,0.0,0.21686172485351562,0.011596963425313146,0.0009926283859452718,0.0005799574010512408,19.996233179009852
1589,3.0,99.0,99.0,92.0,8.485281374238571,0.0,0.19602203369140625,0.01221598609019134,0.0008705057595875032,0.0090027977438534,1.3569099781822513
1593,3.0,44.0,2.0,83.0,8.485281374238571,0.0,0.20299530029296875,0.011820737777217741,0.0012331240953301912,2.5164696478074596e-05,469.73496332518334
1596,3.0,99.0,10.0,57.0,8.485281374238571,0.0,0.17873382568359375,0.011618821885850695,0.000801848985163932,0.0022930437630980555,5.066986541134692
1611,3.0,39.0,7.0,19.0,8.485281374238571,0.0,0.17881011962890625,0.013354353471235796,0.0008801794956002409,0.00028945238162309694,46.13661631095103
1619,3.0,22.0,99.0,0.0,8.485281374238571,0.0,0.19583892822265625,0.013425797682542068,0.000919088728046706,0.0005404154459635416,24.843475113122174
1634,3.0,0.0,24.0,0.0,8.485281374238571,0.0,0.19603347778320312,0.01835499913239282,0.0015496681287308271,0.016466196845559514,1.1147078651220341
1638,3.0,0.0,26.0,75.0,8.485281374238571,0.0,0.17962265014648438,0.013238050672743055,0.0009813880821402518,0.008988615978195006,1.4727573972296204
1641,3.0,39.0,0.0,22.0,8.485281374238571,0.0,0.17881011962890625,0.017013865068924328,0.0010735547173378569,0.0029829586253446692,5.7036879172128785
1645,3.0,0.0,12.0,65.0,8.485281374238571,0.0,0.17908096313476562,0.011251898871527779,0.0008592851641800622,0.0057239787634399825,1.9657478366963124
